Registration Number,Date of Registration,Project Status,Project Name,Project Type,Project Location,Proposed Completion Date (Original),Proposed Completion Date (Revised),Planning Authority,Full Name of Planning Authority,Land Area,Project Address,District,Taluka,Village,Pin Code,Longitude,Latitude,Promoter Name,Promoter Type,Promoter Address,Bank IFSC Code,Permissible Built-up Area
P52100080368,27/05/2025,Active,High-Street of Raheja Galaxy in RVP,Commercial,Maharashtra,31/03/2029,,,,1099.83,"Final Plot bearing No/CTS Number/Survey NumberS. No. 37 H. No. 3+4 (Plot B), S. No. 27 H. No. 1B+2+3 (Plot A) and H. No. 4+5, S. No. 25 H. No. 4 (pt), S. No. 26 H. No. (1+9A) + (2A+2B)",Pune,Haveli,MOHAMMADWADI,411060,0.000000000000000,0.000000000000000,,,,,7500
P51800046921,20/09/2022,Active,Raheja Exotica Siena,Residential / Group Housing,Maharashtra,31/12/2028,,MCGM,,988,"Final Plot bearing No/CTS Number/Survey Number1965, 2053/ B, 2053/C,2053/C-1, 2053/D, 2053/E, 2055/B, 2055/C",Mumbai Suburban,Borivali,Borivali,400061,0.000000000000000,0.000000000000000,,Company,,,20204.35
P51700080277,15/05/2025,Active,T11 Raheja Jade City,Residential / Group Housing,Maharashtra,31/07/2031,,Others,MIDC,4328.06,Final Plot bearing No/CTS Number/Survey NumberGen-2/1/D Gen-2/1/E and Gen-2/1/F,Thane,Thane,Navi Mumbai (M Corp.),400706,0.000000000000000,0.000000000000000,,Company,,ICIC0000555,21212.58
P51700080352,26/05/2025,Active,T2 Raheja Jade City,Residential / Group Housing,Maharashtra,31/07/2031,,Others,MIDC,3934.99,Final Plot bearing No/CTS Number/Survey NumberGen-2/1/D Gen-2/1/E and Gen-2/1/F,Thane,Thane,Navi Mumbai (M Corp.),400706,0.000000000000000,0.000000000000000,,Company,,ICIC0000555,19286.11
P52100052201,31/07/2023,Completed,RAHEJA STERLING - TOWER 3,Residential / Group Housing,Maharashtra,30/11/2026,,Others,Pune Municipal Corporation,737.5,"Final Plot bearing No/CTS Number/Survey NumberPlot B, S.No. 42/5+6a+8+9+10 and S. No. 42/1c (p), S. No. 42/1/B/2, S. No. 42/2a (p), S. No. 42/7",Pune,Haveli,MOHAMMADWADI,411060,0.000000000000000,0.000000000000000,,,,,16342.76
P51800079836,27/03/2025,Active,RAHEJA ANTARES - TOWER B,Residential / Group Housing,Maharashtra,30/11/2029,,MCGM,,6706.56,"Final Plot bearing No/CTS Number/Survey Number112A/1,112A/2,112A/3",Mumbai Suburban,Kurla,Hariyali,400078,0.000000000000000,0.000000000000000,,Company,,,29151.64
PR1260002500264,14/07/2025,Active,Raheja Aurum,Residential / Group Housing,Maharashtra,30/11/2030,,Others,Pune Municipal Corporation,9861,"Final Plot bearing No/CTS Number/Survey NumberS. No. 25 Hissa No. 1 (part), S. No. 25 Hissa No. 2 (part), S. No. 25 Hissa No. 3/1 (part)",Pune,Haveli,MOHAMMADWADI,411060,73.9163246,18.4751462,,,,ICIC0000555,35000.86
P52100033399,16/02/2022,Active,T11 named as Raheja Stellar in RV Premiere,Residential / Group Housing,Maharashtra,31/12/2026,,Others,Pune Municipal Corporation,2816,Final Plot bearing No/CTS Number/Survey NumberS.No.27/4 and other parts of land,Pune,Haveli,MOHAMMADWADI,411060,0.000000000000000,0.000000000000000,,Company,,ICIC0000555,44664.69
P51700046572,13/08/2022,Active,Raheja Prime-1,Others,Maharashtra,31/12/2028,,Others,Maharashtra Industrial Development Corporation,2303.52,Final Plot bearing No/CTS Number/Survey NumberGen-2/1/B,Thane,Thane,Navi Mumbai (M Corp.),400705,0.000000000000000,0.000000000000000,,,,HDFC0000542,40524.48
P52100054163,29/12/2023,Active,T3 named Altair of Raheja Galaxy in RV Premiere,Residential / Group Housing,Maharashtra,31/07/2028,,Others,Pune Municipal Corporation,3127.84,"Final Plot bearing No/CTS Number/Survey NumberS. No. 37, H. No. 3+4 (Plot B), S. No. 27 H. No. 1B+2+3 (Plot A) and H. No. 4+5, S. No. 25 H. No. 4 (pt), S. No. 26 H. No. (1+9A) + (2A+2B)",Pune,Haveli,MOHAMMADWADI,411060,0.000000000000000,0.000000000000000,,Company,,RATN0000070,28089.66
